id;id_evento;ts_evento;note
1;76906;2022-02-17T18:33:50;Director Tugrik
2;53142;2022-02-18T05:05:29;De-engineered Assistant red
3;48454;2022-02-17T19:20:29;Plastic Implemented transmitter
4;57941;2022-02-18T17:10:45;Soft impactful functionalities
5;38564;2022-02-18T07:00:38;West
6;37904;2022-02-18T17:39:05;plum
7;21054;2022-02-18T16:35:25;Refined Producer
8;86201;2022-02-17T21:12:44;withdrawal Small
9;54427;2022-02-18T11:18:15;Planner Chair Indiana
10;16321;2022-02-18T07:44:06;cross-platform web-readiness Kwacha
