id;id_stadio;ds_stadio;ts_cambio_stato
1;8398;Carolina benchmark technologies;2022-02-18T13:53:25
2;63360;pixel incubate;2022-02-18T01:53:25
3;86208;Bhutan Account extend;2022-02-18T09:44:30
4;62466;Usability Car;2022-02-18T15:59:19
5;57316;Object-based hard XML;2022-02-18T06:46:40
6;25171;Loan Convertible Massachusetts;2022-02-18T16:57:59
7;12884;Dong one-to-one;2022-02-18T04:54:39
8;3077;web-readiness Towels;2022-02-18T16:55:41
9;70305;input Metal;2022-02-18T04:21:37
10;13049;Pound models Officer;2022-02-18T17:07:04
